NPI,CCN,Provider_Type,Business_State_Territory,ZIP,Specialty,Hospital_Type,Program_Type,Program_Year,Provider_Stage_Number,Payment_Year,Attestation_Month,Attestation_Year,MU_Definition_2014,Stage_2_Scheduled_2014,EHR_Certification_Number,EHR_Product_CHP_Id,Vendor_Name,EHR_Product_Name,EHR_Product_Version,Product_Classification,Product_Setting,Product_Certification_Edition_Yr
1003000142,,EP,Ohio,43623,Anesthesiology,,Medicare,2014,Stage 1,1,9,2014,2014,0,A014E01NC9ZLEA1,CHP-022045,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic 2012 (June 2013 CQMs),Complete EHR,Ambulatory,2014
1003000142,,EP,Ohio,43623,Anesthesiology,,Medicare,2015,Stage 1,2,2,2016,,0,A014E01NCEULEA5,CHP-022044,Epic Systems Corporation,EpicCare Ambulatory 2014 Certified EHR Suite,Epic 2014 (June 2013 CQMs),Complete EHR,Ambulatory,2014
1003000522,,EP,Florida,32725,Family Medicine,,Medicare,2012,Stage 1,1,2,2013,,1,30000001SVGWEAS,CHP-007425,NextGen Healthcare,NextGen Ambulatory EHR,5.6 SP1,Complete EHR,Ambulatory,2011
1003000522,,EP,Florida,32725,Family Medicine,,Medicare,2014,Stage 1,3,2,2015,2013,1,A0H1301NC8QYEAL,CHP-018548,NextGen Healthcare,NextGen Ambulatory EHR,5.8,Complete EHR,Ambulatory,2011
1003000522,,EP,Florida,32725,Family Medicine,,Medicare,2014,Stage 1,3,2,2015,2013,1,A0H1301NC8QYEAL,CHP-021999,NextGen Healthcare,NextGen Ambulatory EHR,5.8.0.77,Complete EHR,Ambulatory,2014
1003000522,,EP,Florida,32725,Family Medicine,,Medicare,2015,Stage 2,4,2,2016,,1,1314E01PHNJKEA5,CHP-023369,NextGen Healthcare,NextGen Ambulatory EHR,5.8.1,Complete EHR,Ambulatory,2014
1003000522,,EP,Florida,32725,Family Medicine,,Medicare,2016,Stage 2,5,1,2017,,1,0014EWR4DR4GCQ6,14.07.07.2880.ATA1.08.1.1.161123,"athenahealth, Inc.",athenaClinicals,16.11,Complete EHR,Ambulatory,2014
1003000530,,EP,Pennsylvania,18951,Internal Medicine,,Medicare,2012,Stage 1,1,11,2012,,1,30000004TQGMEAQ,CHP-008032,Allscripts,Allscripts Enterprise EHR (Complete),11.2,Complete EHR,Ambulatory,2011
1003000530,,EP,Pennsylvania,18951,Internal Medicine,,Medicare,2013,Stage 1,2,3,2014,,1,30000004TQGMEAQ,CHP-008032,Allscripts,Allscripts Enterprise EHR (Complete),11.2,Complete EHR,Ambulatory,2011
1003000530,,EP,Pennsylvania,18951,Internal Medicine,,Medicare,2014,Stage 1,3,2,2015,2014,1,A014E01O5FAMEAN,CHP-019270,Get Real Health,InstantPHR,3,Modular EHR,Ambulatory,2014
